text,label
I am looking for bathroom,8
Please take to me md ibiro,15
Où se trouve reception desk ?,0
support offices block iri he?,10
I want to go to the Block A,9
cherche Je maintenance chief office,20
How should I be plant manager office,18
Where can I find manager office,18
Where can I find Sales Office,17
Where can I find Industry Area,11
I am looking for chief of maintenance office,20
Where can I find manager office,18
Montrez-moi le chemin toilet vers,14
Mfite inama muri administrative block,9
Where can I find reception desk,0
Ndashaka kubona Secretary to the Manager Plant,19
Comment aller au plant manager office ?,18
Where can I find Waiting Area,2
How should I be Meeting Room 3,6
How should I be bureau finance,5
I have a meeting at Managing Director Office,15
Where can I find administrative block,9
am I here to visit Bathroom,8
Je cherche general bureau,24
Where can I find Toilets,14
How should I be toilet,8
Where can I find front desk,0
How should I be industry area,11
Je dois rencontrer customer service block please,9
Where can I find block a,9
Where can I find Plant Manager Office,18
Emmenez-moi au maintenance chief office ngwino,20
md office please,15
I have a inama at director office murakoze,15
Where can I find administrative block,9
Mushobora kunyereka corridor b?,3
Où se cafeteria trouve ?,13
How should I be industrial operations,11
Njyanye kuri main corridor,1
Where can I find Plant Director Office,16
Where can I find stock area,12
How should I be storage room b,7
Je dois rencontrer chief of maintenance office,20
Where can I find corridor b,3
Where can I find maintenance coordination,21
Emmenez-moi au ubuyobozi bwa hr,4
Bathroom s'il vous plaît,8
Where can I find ubuyobozi bwa hr,4
How should I be meeting room 3,6
How should I be Restaurant,13
How should I be front desk,0
Where can I find Stock / Warehouse Area,12
Ndashaka kubona bathroom,8
How should I be Finance Office 201,5
chief of maintenance bureau iri he?,20
How should I be toilets,14
I am here to visit Chief of Maintenance Office,20
Njyanye kuri managing office director,15
Where can I find managing director office,15
Nshaka gusura Plant Director Office,16
Show me the way to commercial office,17
toilet please,8
How should I be toilet,8
Njyanye kuri director ibiro,15
How should I be maintenance coordination,21
Where can I find toilet,14
Njyanye kuri restroom,14
Where is Secretary to the Plant chief,19
How should I be Waiting Area,2
Where can I find server room,7
How should I be Admin Corridor,3
Where can I find block a,9
Where can I find server room,7
Where can I find accounting department,5
Pouvez-vous m'indiquer Waiting Area ? ngwino,2
I need to find Restaurant,13
How do I get to plant manager office?,18
Where can I find inventory office,22
Where can I find plant manager secretary,19
Ndashaka guhura n'umuyobozi wa Chief of Maintenance Office,20
Ndashaka kujya Stock kuri Office,22
Njyanye kuri restaurant,13
Where can I find Bathroom,8
Where can I find administrative block,9
Je dois rencontrer Industry Area,11
Où se trouve supervisor ibiro ?,25
Ni hehe habarirwa restricted zone?,7
How should I be managing director office,15
Nereke inzira yerekeza kuri first aid bureau,23
How should I be Plant Director Office,16
How should I be Stock / Warehouse Area,12
Comment aller au Meeting Room 3 ?,6
I am here to visit plant manager bureau,18
Where can I find Restaurant,13
Please take me to Managing Director Office ngwino,15
Njyanye kuri plant manager bureau,18
Where can I find reception desk,0
Je suis ici pour voir Finance office 201 svp,5
Where can I find Managing Director Office,15
I need to find customer service block please,9
Where can I find Storage Room B,7
How should I be Industry Area,11
How should I be ibiro by imari,5
I have meeting a at lounge,2
J'ai rendez-vous au commercial office,17
How should I be warehouse,12
I have a meeting at manager finance,5
Where can I find canteen,13
I want to go to the Toilets,14
How should I be conference room,6
How should I be plant director office,16
Ndashaka guhura n'umuyobozi wa industry area,11
How should I be director office,15
Where can I find maintenance supervisor office,25
Ni hehe habarirwa corridor a?,1
Chief of Maintenance Office,20
Je suis ici pour voir reception desk,0
Pouvez-vous m'indiquer storage room b ?,7
How should I be General Offices,24
I am here to visit Sales Office,17
Mushobora kunyereka plant manager office?,18
Where can I find operational block,10
Je voudrais aller au Secretary to the Plant Manager,19
How should I be operational block,10
Where can I find canteen,13
How should I be warehouse,12
How do I get to stock area?,12
Where can I find maintenance supervisor office,25
Where can I find first aid office,23
How should I be conference room,6
How should I be plant manager office,18
How should I be First Aid Office,23
How should I be Waiting Area,2
How should I be ubuyobozi bwa hr,4
Nereke inzira yerekeza kuri general offices,24
Where can I find general offices,24
Where can I find general offices,24
How should I be Managing Director Office,15
How should I be plant director office,16
Je suis ici pour voir director office,15
Where can I find accounting department,5
Where can I find finance manager,5
Where can I find First Aid Office,23
Njyanye kuri manager plant secretary,19
Where can I find Stock / Warehouse Area,12
Where can I find Waiting Area,2
How should I be Main Corridor,1
Mfite inama muri cafeteria,13
Je voudrais aller au customer service block,9
Je voudrais aller au hr head,4
Where can I find sales office,17
Where can I find Plant Director Office,16
Where can I find hr office,4
How should I be block b,10
Help me reach offices support block please,10
Where can I find block a,9
J'ai rendez-vous au plant director office,16
Where can I find general offices,24
I need to customer find service block,9
Where can I find clinic,23
Ni hehe habarirwa HR Office 104?,4
Show me the way to Plant Manager Office,18
I have a session at industry area,11
Where can I find restroom,14
How should I be human resource office,4
How should I be Stock Office,22
How should I be operational block,10
Ndashaka guhura n'umuyobozi wa Secretary to the Plant Manager,19
Nshaka gusura bathroom,8
Storage Room B s'il vous plaît,7
Where can I find waiting area,2
How do I get to toilet?,14
Where can I find finance manager,5
Où se trouve Admin Corridor ?,3
I need to find finance manager,5
How should I be accounting department,5
Ndashaka kubona supervisor office,25
Where can I find industrial operations,11
Je dois rencontrer meeting salle 3,6
I need to find md office,15
How should I be Waiting Area,2
Nereke inzira yerekeza kuri director plant office,16
Where can I find maintenance coordinator office,21
Where can I find clinic,23
Where can I find commercial office,17
Je suis ici pour voir hr bureau,4
Where can I find ressources humaines,4
How do I get to inventory bureau,22
Where can I find Restaurant,13
Mfite inama muri desk front,0
Comment aller au stock area ?,12
J'ai rendez-vous au cafeteria,13
Where can I find block a,9
Je dois rencontrer plant umuyobozi office,18
Where can I find reception desk,0
Ndashaka guhura n'umuyobozi wa restricted zone,7
Pouvez-vous m'indiquer Block B ?,10
How should I be front desk,0
J'ai rendez-vous au front desk,0
How should I be restricted zone,7
How should I be Admin Corridor,3
Où se trouve Plant head bureau ?,18
I am looking for hr office,4
Where can I find restroom,14
How should I be operational block,10
Ndashaka kujya kuri restricted zone,7
Where can I find Stock Office,22
How should I be operational block,10
Where can I find restroom,14
How should I be Reception,0
How do get I to ressources humaines?,4
J'ai rendez-vous technical au supervision,11
Where is Stock Office?,22
Ndashaka kubona storage room b,7
Je suis ici pour voir general office,24
J'ai rendez-vous au general office svp,24
Can you direct me to hr office?,4
How should I be Plant Director Office,16
Where can I find general offices,24
Where can I find md office,15
Where can I find bureau finance,5
Where can I find server room,7
How should I be warehouse,12
How should I be stock warehouse area,12
Ndashaka kubona Plant Director ibiro,16
kuri Njyanye board room,6
Je suis ici pour voir Plant Director Office,16
How should I be restroom,8
Where can I find finance manager,5
kunyereka Mushobora ibiro by imari?,5
Je voudrais aller au meeting room 3,6
How should I be finance office,5
How should I be first aid office,23
How should I be block b,10
ubuyobozi hr bwa s'il vous plaît,4
le Montrez-moi chemin vers Chief of Maintenance office,20
Bathroom please ngwino,8
Where can I find finance office,5
How should I be clinic,23
Where can I find corridor a,1
I have a meeting at Stock office,22
How should I be medical room,23
How should I be Plant Director Office,16
Where can I find waiting area,2
Where can I find md office,15
restroom iri he? ngwino,14
How should I be industry area,11
Ndashaka kubona stock warehouse area,12
How should I be secretary to the plant manager,19
Where can I find meeting room 3,6
How should I be restroom,8
Ni habarirwa hehe front desk?,0
Where can I find admin corridor,3
Où trouve se managing director office ?,15
How should I be block b,10
Mfite inama muri maintenance supervisor office,25
Where can I find chief of maintenance office,20
How should I be Sales Office,17
Where can I find chief of maintenance office,20
How should I be conference room,6
Pouvez-vous m'indiquer HR Office 104 ?,4
I am looking for stock area,12
Help me reach cafeteria,13
Je suis ici pour voir Finance Office 201,5
Where can I find director plant office,16
Where can I find Finance Office 201,5
How should I be restricted zone,7
How should I be finance manager,5
Mfite inama muri support offices block,10
How should I be corridor a,1
How should I be General Offices,24
Where can I find toilet,8
How should I be finance office,5
How should I be toilets,14
Where can I find waiting area,2
Pouvez-vous m'indiquer lounge ?,2
Where can I find board room,6
How should I be Industry Area,11
Where can I find Plant Director Office,16
Where can I find human resource office,4
kujya Ndashaka kuri inventory office,22
How should I be stock warehouse area,12
Mushobora kunyereka Chief of Maintenance Office?,20
How should I be Storage Room B,7
How should I be front desk,0
Where industry is area? please,11
How should I be medical room,23
Pouvez-vous m'indiquer Maintenance Coordinator Office ?,21
How do I get to Maintenance Supervisor Office?,25
Où se trouve restroom ?,14
How should I be chief of maintenance office,20
Where can I find First Aid Office,23
How should I be manager office,18
How should I be Plant Director Office,16
How should I be restricted zone,7
I am here to visit Stock / Area Warehouse,12
Can you direct me to general office?,24
I have a meeting at hr office murakoze,4
I am looking for warehouse,12
Where can I find human resource office,4
Nereke inzira yerekeza kuri Finance Office 201,5
How should I be maintenance supervisor office,25
Je cherche maintenance coordinator office,21
Mfite inama muri managing director bureau murakoze,15
Je ici suis pour voir general offices,24
Where is manager bureau,18
Where can I find customer service block,9
Show me the to way cafeteria,13
Emmenez-moi au hr manager,4
How do I get to finance manager ngwino,5
Emmenez-moi au General Offices,24
Where can I find md office,15
How should I be hr manager,4
Show me the way to manager ibiro,18
How should I be corridor b,3
How should I be manager office,18
I need directions to chief of maintenance office,20
Ndashaka guhura wa n'umuyobozi plant manager secretary,19
restroom please,8
How should I be plant director office,16
Ndashaka kubona office sales,17
Je suis ici pour voir conference room,6
Where can I find Finance Office 201,5
Mushobora kunyereka reception desk?,0
Where can I find Main Corridor,1
J'ai rendez-vous toilets au,14
How should I be block b,10
How should I be First Aid Office,23
Where can I find Secretary to the Plant Manager,19
Je cherche Restaurant,13
How should I be Secretary to the Plant Manager,19
I need directions to Office Finance 201,5
stock area s'il vous plaît,12
Where can I find hr manager,4
How should I be managing director office,15
plant director office s'il vous plaît,16
Where can I find toilets,14
How should I be block a,9
I need to find technical supervision,11
Où se trouve bureau finance ?,5
Where can I find Sales Office,17
Nereke yerekeza inzira kuri Maintenance Supervisor ibiro,25
How should I be canteen,13
Where can I find stock area,12
Where can I find server room,7
Comment aller au human resource office ?,4
Nshaka gusura admin corridor,3
Pouvez-vous m'indiquer technical supervision ?,11
industry area,11
Where can I find Stock / Warehouse Area,12
Can you direct me maintenance to coordination?,21
Show me the way to ibiro by imari,5
How should I be Admin Corridor,3
Where can I find sales office,17
Mfite inama muri md ibiro,15
maintenance coordinator office svp,21
Je dois rencontrer accounting department,5
Je voudrais aller au ibiro by imari,5
Je voudrais aller au maintenance coordination,21
Where can I find Secretary to the Plant Manager,19
Can you direct me to industry area?,11
Where can I find Main Corridor,1
Mushobora kunyereka bureau Finance 201?,5
Ni hehe habarirwa Main Corridor? ngwino,1
Mushobora kunyereka Area? Waiting,2
Emmenez-moi au clinic,23
Njyanye kuri toilets,14
How should I be Meeting Room 3,6
Where can I find stock office,22
Where can I find maintenance coordination,21
Where can I find industrial operations,11
Comment aller au restricted zone ?,7
Where can I find maintenance coordinator office,21
Where can I find Stock Office,22
How should I be waiting area,2
Je dois rencontrer Bathroom ngwino,8
Show me the way to main corridor,1
How should I be block a,9
Where can I find server room,7
Ni hehe habarirwa lounge?,2
Ni hehe habarirwa inventory office?,22
How should I be chief of maintenance office,20
Nereke inzira yerekeza kuri Plant Director Office,16
Where can I find customer service block,9
Where can I find waiting area,2
Mfite inama muri clinic,23
Nshaka gusura support offices block,10
I have a inama at ressources humaines,4
Where can I find toilet,8
How should I be administrative block,9
Please take me to plant umuyobozi office,18
Where can I find Restaurant,13
How should I be toilets,14
Where can I find canteen,13
How should I be General Offices,24
Where can I find sales office,17
Mfite inama muri hr ibiro,4
Where can I find bathroom,14
How do I get to Maintenance Coordinator Office?,21
Ndashaka kujya kuri meeting room 3,6
How should I be operational block,10
want I to go to the clinic,23
plant manager office,18
Where can I find lounge,2
Where can I find cafeteria,13
How should I be finance manager,5
Montrez-moi le chemin vers commercial office ngwino,17
How should I be supervisor office,25
Ndashaka kujya kuri conference room,6
Je dois rencontrer toilet,8
Where can I find Meeting Room 3,6
How should I be server room,7
How should I be Waiting Area,2
I am to here visit Plant Director Office,16
Help me reach administrative block thanks,9
Je cherche reception desk ngwino,0
How should I be administrative block,9
need I to find canteen,13
I need to find Managing Director office,15
Where can I find front desk,0
How should I be Secretary to the Plant Manager,19
How should I be First Aid Office,23
Mushobora kunyereka conference room?,6
How should I be Block A,9
Where can I find support offices block,10
Je suis ici pour voir Waiting Area,2
Where can I find Stock / Warehouse Area,12
Where can I find Sales Office,17
Mushobora kunyereka Coordinator Maintenance office,21
Je suis ici pour voir director ibiro,15
How should I be front desk,0
Where can I find toilet,14
Where can I find inventory office,22
How should I be Reception,0
Emmenez-moi au industry area,11
How should I be stock warehouse area,12
Nereke inzira yerekeza kuri technical supervision,11
Where can I find plant manager office,18
Where can I find Main Corridor,1
Where can I find accounting department,5
I am here to visit Block B,10
How should I be technical supervision,11
Nereke inzira yerekeza kuri medical room thanks,23
Je cherche supervisor bureau,25
Where can I find board room,6
Where can I find First Aid Office,23
Where can I find Toilets,14
How should I be commercial office,17
Pouvez-vous supervisor m'indiquer office ?,25
Where can I find Maintenance Supervisor Office,25
Please take me to area waiting,2
Where can I find cafeteria,13
Emmenez-moi au technical supervision thanks,11
Where can I find lounge,2
Pouvez-vous m'indiquer restricted zone ?,7
Where can I find conference room,6
Where can I find Plant Manager Office,18
How should I be Block B,10
Where can I find board room,6
I have a meeting at admin corridor,3
Where can I find ubuyobozi bwa hr,4
Please take me to stock warehouse area,12
Help me reach Stock / Warehouse Area thanks,12
technical supervision please,11
How should I be finance manager,5
How should I be Managing Director Office,15
Mfite inama muri maintenance coordination,21
Where can I find Sales Office,17
How should I be Industry Area,11
Je voudrais aller au Maintenance Supervisor Office,25
I have a at meeting admin corridor,3
Ni hehe habarirwa customer service block?,9
Where can I find managing director office,15
Where can I find maintenance chief office,20
Where can I find Storage Room B,7
How should I be chief of maintenance office,20
Where can I find server room,7
How should I be managing director office,15
block b please,10
Je suis ici pour voir maintenance coordination thanks,21
How should I be managing director office,15
I have a inama at commercial office,17
How should I be managing director office,15
Please take me to human resource office,4
Please take me to block b,10
Where can I find cafeteria,13
Où se trouve medical room ?,23
Ndashaka kujya kuri md office ngwino,15
Where can I find Chief of Maintenance Office,20
plant head office s'il vous plaît,18
How should I be stock office,22
Mfite inama muri first aid office,23
Where can I find Chief of Maintenance Office,20
Comment aller au admin corridor ? please,3
I want to go to director the bureau,15
Where can I find Managing Director Office,15
Show me the way to toilet,8
How should I be Maintenance Coordinator Office,21
Can you direct me to Waiting Area?,2
Where can I find toilet,8
Where can I find industry area,11
How should I be meeting room 3,6
Where can I find customer service block,9
Where can I find Block A,9
How should I be general office,24
Je cherche server room,7
I need to find stock warehouse area,12
How should I be waiting area,2
How should I be Finance Office 201,5
Where can I find first aid office,23
Show me the way corridor to b,3
How should I be clinic,23
Nereke inzira yerekeza kuri accounting department,5
How should I be HR Office 104,4
Je voudrais aller au board icyumba,6
I want to go to the hr manager,4
Je suis ici pour voir stock area,12
J'ai rendez-vous au storage room b,7
I have a inama at First Aid Office,23
Where can I find block b,10
Je suis ici pour voir chief of maintenance office,20
HR office 104 iri he?,4
Where can I find Admin Corridor,3
How should I be Storage Room B,7
Njyanye kuri industrial operations,11
Ni hehe habarirwa director plant ibiro,16
Mushobora kunyereka plant director office?,16
How should I be stock office,22
How should I be maintenance coordination,21
Where can I find restroom,14
Show me the way to waiting area,2
Ni hehe habarirwa reception desk?,0
Can you direct me to Secretary to the Plant head,19
Where can I find corridor b,3
Ndashaka kujya kuri maintenance chief office,20
Where can I find supervisor office,25
Where can I find admin corridor,3
How should I be commercial office,17
Where can I find clinic,23
md office s'il vous plaît,15
Where can I find industry area,11
Comment aller au Waiting Area ?,2
I want to go to the Chief of Maintenance Office,20
How should I be commercial office,17
Où se trouve block b ?,10
Please take me to HR Office 104,4
Where can I find Waiting Area,2
Can you direct me to main corridor?,1
How should I be toilet,8
How should I be managing director office,15
How should I be toilet,8
How should I be bureau finance,5
How do I get to Stock / Warehouse Area? murakoze,12
Where can I find block a,9
Où se trouve plant manager office ?,18
How should I be admin corridor,3
block b s'il vous plaît,10
Je cherche plant bureau director,16
Où se trouve plant director office ?,16
Mfite inama muri General Offices,24
