question,answer,language,source,topic
where is the manager office,The Plant Manager Office is in the main administration block — please ask Reception to be announced first.,en,bootstrap,manager
where is the director,The Plant Manager Office is in the main administration block — please ask Reception to be announced first.,en,bootstrap,manager
i want to see the manager,The Plant Manager Office is in the main administration block — please ask Reception to be announced first.,en,bootstrap,manager
i need to talk to the manager,The Plant Manager Office is in the main administration block — please ask Reception to be announced first.,en,bootstrap,manager
ndashaka kujya kwa muyobozi,The Plant Manager Office is in the main administration block — please ask Reception to be announced first.,rw,bootstrap,manager
je cherche le bureau du directeur,The Plant Manager Office is in the main administration block — please ask Reception to be announced first.,fr,bootstrap,manager
how do i check in,Visitors check in at the Reception desk by giving your name and the person you are visiting.,en,bootstrap,checkin
how to check in as a visitor,Visitors check in at the Reception desk by giving your name and the person you are visiting.,en,bootstrap,checkin
visitor check in,Visitors check in at the Reception desk by giving your name and the person you are visiting.,en,bootstrap,checkin
how do i register,Visitors check in at the Reception desk by giving your name and the person you are visiting.,en,bootstrap,checkin
i am a visitor,Visitors check in at the Reception desk by giving your name and the person you are visiting.,en,bootstrap,checkin
do you have visitor parking,Yes — visitor parking is available near the main gate before security.,en,bootstrap,parking
where can i park,Yes — visitor parking is available near the main gate before security.,en,bootstrap,parking
where is the parking,Yes — visitor parking is available near the main gate before security.,en,bootstrap,parking
is there parking for visitors,Yes — visitor parking is available near the main gate before security.,en,bootstrap,parking
hari aho nshobora gupakira imodoka,Yes — visitor parking is available near the main gate before security.,rw,bootstrap,parking
ou puis-je me garer,Yes — visitor parking is available near the main gate before security.,fr,bootstrap,parking
i need help with a delivery,For deliveries, please go to the Reception desk so they can call the right person.,en,bootstrap,delivery
i have a package,For deliveries, please go to the Reception desk so they can call the right person.,en,bootstrap,delivery
where do i drop off a package,For deliveries, please go to the Reception desk so they can call the right person.,en,bootstrap,delivery
i am here for a delivery,For deliveries, please go to the Reception desk so they can call the right person.,en,bootstrap,delivery
what time do you open,Please ask the Reception desk for the current opening hours.,en,bootstrap,hours
what are the visiting hours,Please ask the Reception desk for the current opening hours.,en,bootstrap,hours
when does the office open,Please ask the Reception desk for the current opening hours.,en,bootstrap,hours
opening hours,Please ask the Reception desk for the current opening hours.,en,bootstrap,hours
what time do you close,Please ask the Reception desk for the current opening hours.,en,bootstrap,hours
where is the meeting room,Meeting rooms are available — Reception will tell you which one is free.,en,bootstrap,meeting
is there a meeting room,Meeting rooms are available — Reception will tell you which one is free.,en,bootstrap,meeting
i need a meeting room,Meeting rooms are available — Reception will tell you which one is free.,en,bootstrap,meeting
where is the conference room,Meeting rooms are available — Reception will tell you which one is free.,en,bootstrap,meeting
where is first aid,The First Aid Office is signposted from the main corridor. In an emergency tell any staff member immediately.,en,bootstrap,firstaid
i need first aid,The First Aid Office is signposted from the main corridor. In an emergency tell any staff member immediately.,en,bootstrap,firstaid
medical emergency,The First Aid Office is signposted from the main corridor. In an emergency tell any staff member immediately.,en,bootstrap,firstaid
someone is hurt,The First Aid Office is signposted from the main corridor. In an emergency tell any staff member immediately.,en,bootstrap,firstaid
i am lost,No problem — head back to the Reception desk and they will help you find your way.,en,bootstrap,lost
i don't know where to go,No problem — head back to the Reception desk and they will help you find your way.,en,bootstrap,lost
i can't find it,No problem — head back to the Reception desk and they will help you find your way.,en,bootstrap,lost
help me find a place,No problem — head back to the Reception desk and they will help you find your way.,en,bootstrap,lost
where is the exit,The main exit is back through the entrance lobby past the Reception desk.,en,bootstrap,exit
how do i get out,The main exit is back through the entrance lobby past the Reception desk.,en,bootstrap,exit
where is the way out,The main exit is back through the entrance lobby past the Reception desk.,en,bootstrap,exit
